General,,,,,,,,,,,,,,,Engine,,,,,,Pump,,,,,Boiler,,,Rail,,,,Accessory
Project No,AKA,Date,Title,Notes,Original Link,Video,Sheets,Comments,Issues,Keywords,Lubrication,Height,Length,Width,Type,Orientation,Pistons,Reverser,Bore,Stroke,Type,Drive,Cylinders,Bore,Stroke,Fuel,Orrientation,Volume ml,Type,Style,Fuel,Gauge,Type
09A-28-00,,May 2020,A STURDY 2 CYLINDER BOXER TYPE OSCILLATING STEAM ENGINE,"THE ORIGINAL DRAWINGS WERE GIVEN TO ME. THE ORIGNAL DESIGN/BUILD WAS BY J.P.DUVAL OF ""MINIATURES MECANIQUES MODELS"". DRAWING No: MV o 10x20 02 OO, DATED OCTOBER 2004. THE ENGINE SHOWN ON THESE DRAWINGS IS 2x THE ORIGINAL",https://www.modelesavapeur.com/telechargemennts/a-sturdy-2-cylinder-boxer-type-oscillating-engine.pdf,,2,,,,Oil points,138.5,252.3,117.0,Valve gear,Horizontal,2,Yes,20,40,,,,,,,,,,,,,
09E-36-00,,Nov 2019,A THWATTES AND CARBUTT TYPE REVERSING ROLLING MILL STEAM ENGINE,"THIS DESIGN IS BASED ON DRAWINGS WHICH WERE FOUND ON THE INTERNET. THE ORIGINAL DRAWING WAS PUBLISHED ON THE ""MODELENGINEERINGWEBSITE WEBSITE. A SIMULAR SET OF DRAWINGS WERE FOUND ON THE INTERNET.",https://www.modelesavapeur.com/telechargemennts/a-twattes-and-carlutt-type-reversing-rolling-mill-steam-engine.pdf,,7,,,,"Oil cups, Oil points",189.0,615.0,257.0,Valve gear,Horizontal,2,Yes,45,60,,,,,,,,,,,,,
09C-38-00,,Aug 2019,A TWIN CYLINDER VERTICAL DOUBLE ACTING STEAM ENGINE,THIS DESIGN IS BASED ON DRAWINGS WHICH WERE GIVEN TO ME. THE ORIGINAL DESIGN AND DRAWINGS WERE BY MALCOLM BEAK. DATED 1985. ENGINE CODE M.B.22,https://www.modelesavapeur.com/telechargemennts/a-twin-cylinder-zip.zip,,3,,,,Oil points,152.0,135.0,92.0,Valve gear,Vertical,2,No,20,20,,,,,,,,,,,,,
09E-18-00,WBSE,Dec 2015,SIMPLE WALKING-BEAM STEAM ENGINE,"THIS DESIGN IS BASED ON DRAWINGS WHICH I FOUND N THE INTERNET. THE ORIGINAL DRAWINGS WERE PUBLISHED IN THE ""POPULAR MECHANICS"" MAGAZINE OF AUGUST 1969. ARTICLE BY RUDY KOUHOUPT.",https://www.modelesavapeur.com/telechargemennts/balanced-beam-engine.pdf,,3,,"Doesn't list a stroke, and I can't be bothered doing trig",Beam,Oil points,186.0,226.5,92.0,Valve gear,Vertical,1,No,13,,,,,,,,,,,,,,
09E-24-00,BBSEBH,Nov 2017,BALANCED BEAM STEAM ENGINE,"THIS BALANCED BEAM STEAM ENGINE IS BASED ON DRAWINGS GIVEN TO ME. THIS DESIGN IS LOOSLY BASED ON A DESIGN BY BOB HOLME DATED AUGUST-2013. THIS ENGINE WAS CALLED ""THE TRIPLE B""",https://www.modelesavapeur.com/telechargemennts/bbsebh-complet.pdf,,5,,"Doesn't list a stroke, and I can't be bothered doing trig",Beam,Oil points,356.2,535.0,217.0,Valve gear,Vertical,1,No,30,,,,,,,,,,,,,,
09C-39-00,,Sep 2019,B. HICK & SON CRANK OVERHEAD STEAM ENGINE (DATE UNKNOWN),THIS DESIGN IS BASED ON DRAWINGS WHICH WERE FOUND ON THE INTERNET. THE AUTHOR OF THE ORIGINAL DESIGN AND DRAWINGS IS UNKNOWN,https://www.modelesavapeur.com/telechargemennts/b-hik-and-son-crank.pdf,https://youtu.be/EdBoHBQCFEI,9,Pipes all come through the base. Handle does nothing,,"Catwalk, Govenor","Oil cups, Oil points",532.5,335.0,284.0,Valve gear,Vertical,1,No,30,68,Piston,Mechanical,1,6,12,,,,,,,,
09B-19-00,CORLISS2,Feb 2018,"1 CYLINDER HORIZONTAL HIGH PRESSURE STEAM ENGINE OF THE ""CORLISS"" TYPE","THE ORIGINAL DRAWINGS WERE GIVEN TO ME. THE ORIGINAL DRAWINGS AND ACCOMPANIED ARTICLE WERE PUBLISHED IN THE ""MODEL ENGINEER MAGAZINE DATED 20 AUGUST 1982 UNDER TITLE ""A MODEL CONDENSING CORLISS ENGINE"" BY ARNOLD THROP.",https://www.modelesavapeur.com/telechargemennts/corliss-jdw-10-02-2018.pdf,,8,Steam outlet through the base,,Govenor,Oil cups,376.5,900.0,510.0,Valve gear,Horizontal,1,No,43,86,,,,,,,,,,,,,
09B-17-00,DUVAL-1,Sep 2017,"SIMPLE 1 CYLINDER HORIZONTAL STEAM ENGINE ""J.P.DUVAL-1""",THE ORIGINAL DRAWING OF THIS ENGINE WAS BY J.P.DUVAL AND FOUND ON THE INTRNET. THE ORIGINAL DRAWING NUMBER WAS MV 16x32 Moh DATED 01/2005 (THIS ENGINE IS 1.5 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargemennts/duval-1-jdw-19-12-2017.pdf,,3,,,,Oil points,155.0,374.0,135.0,Valve gear,Horizontal,1,No,24,52,,,,,,,,,,,,,
09D-17-00,,Apr 2019,AN EXPERIMENTAL HORIZONTAL STEAM ENGINE USING THE PUSH-PULL (CAT&MOUSE) PRINCIPLE,THIS ENGINE WAS DEVELOPED AND DESIGNED BY J.A.M. DE WAAL.,https://www.modelesavapeur.com/telechargemennts/experimental-push-pull-27-04-2019.pdf,,3,,"Doesn't list a stroke, and I'm not sure how to calculate it on this one",,Oil points,150.0,429.0,138.0,Valve gear,Horizontal,1,No,38,,,,,,,,,,,,,,
09C-32-00,,Nov 2018,"A MODEL OF THE ""GORGON"" SHIP'S STEAM ENGINE","THIS DESIGN IS BASED ON DRAWINGS WHICH WERE PUBLISHED ON THE ""MODELENGINEERINGWEBSITE"" WEBSITE. THE ORIGINAL DRAWINGS AND ACCOMPANIED ARTICLES WERE BY Mr. GUENTER KALLIIES. THIS ENGINE IS 1.5 TIMES THE ORIGINAL",https://www.modelesavapeur.com/telechargemennts/gorgon-marine-engine.pdf,,6,Has a regulator wheel. Exhaust steam is condensed and pumped to a waste tank,,Condensor,"Oil cups, Oil points",338.0,337.5,292.0,Valve gear,Vertical,2,Yes,24,66,,,,,,,,,,,,,
11-10-02,GRASSHOPPER,Apr 2018,A SINGLE CYLINDER VERTICAL STEAM ENGINE OF THE GRASSHOPPER TYPE H.MUNCASTER.,"THE ORIGINAL DRAWINGS WERE PUBLISHED IN THE ""MODEL ENGINEER AND PRACTICAL ELECTRICIAN"" MAGAZINE OF MAY 1934 UNDER THE HEADING OF ""A DESIGN FOR A MODEL ""GRASSHOPPER"" ENGINE"".",https://www.modelesavapeur.com/telechargemennts/grasshopper-muncaster-jdw.pdf,,8,,"Doesn't list a stroke, and I can't be bothered doing trig","Govenor, Beam",Oil points,581.8,528.5,170.0,Valve gear,Vertical,1,No,71,,Piston,Mechanical,1,14,,,,,,,,,
09C-25-00,DUVAL-2,Sep 2017,"SIMPLE 1 CYLINDER VERTICAL STEAM ENGINE ""J.P.DUVAL-2""",THE ORIGINAL DRAWING OF THIS ENGINE WAS BY J.P.DUVAL AND FOUND ON THE INTRNET. THE ORIGINAL DRAWING NUMBER WAS MV 16x32 Bdn 00 00 DATED 10/2004 (THIS ENGINE IS 1.5 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargemennts/jp-duval2.pdf,,3,,,,Oil points,370.0,152.0,151.0,Valve gear,Vertical,1,No,24,52,,,,,,,,,,,,,
09E-21-00,DUVAL-3,Sep 2017,"SIMPLE 1 CYLINDER BALANCED BEAM STEAM ENGINE ""J.P.DUVAL-3""",THE ORIGINAL DRAWING OF THIS ENGINE WAS BY J.P.DUVAL AND FOUND ON THE INTRNET. THE ORIGINAL DRAWING NUMBER WAS MV 16x32 ball1 00 00 1/2 DATED 10/2004 (THIS ENGINE IS 1.5 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargemennts/jp-duval3.pdf,,4,,,Beam,Oil points,277.5,313.0,138.0,Valve gear,Vertical,1,No,24,52,,,,,,,,,,,,,
09E-22-00,DUVAL-4,Sep 2017,"1 CYL. BEAM STEAM ENGINE ""J.P.DUVAL-4"" GRASSHOPPER TYPE",THE ORIGINAL DRAWING OF THIS ENGINE WAS BY J.P.DUVAL AND FOUND ON THE INTRNET. THE ORIGINAL DRAWING NUMBER WAS MV 16x32 ball2 00 00 DATED 10/2004 (THIS ENGINE IS 1.5 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargemennts/jp-duval4.pdf,,4,,,Beam,Oil points,244.6,248.0,135.0,Valve gear,Vertical,1,No,24,52,,,,,,,,,,,,,
09C-26-00,DUVAL-5,Oct 2017,"2 CYL. VERT. STEAM ENGINE WITH REVERSER ""J.P.DUVAL-5""",THE ORIGINAL DRAWING OF THIS ENGINE WAS BY J.P.DUVAL AND FOUND ON THE INTRNET. THE ORIGINAL DRAWING NUMBER WAS MV 16x19 00 00 a DATED 10/2004 (THIS ENGINE IS 1.5 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargemennts/jp-duval5.pdf,,4,,,,Oil points,214.5,220.0,133.5,Valve gear,Vertical,2,Yes,24,34,,,,,,,,,,,,,
09E-30-00,,Oct 2018,A MODEL OF A KIMBLE TYPE STEAM ENGINE,"THIS MODIFIED DESIGN IS BASED ON DRAWINGS WHICH WERE GIVEN TO ME. THE ORIGINAL DRAWINGS WERE BY Mr. JERRY PONTIUS, DEADWOOD, SOUTH DAKOTA.",https://www.modelesavapeur.com/telechargemennts/kimble-engine.pdf,,3,,,,Oil points,181.0,310.4,135.0,Valve gear,Kimble,1,No,,,,,,,,,,,,,,,
09B-21-00,,Jun 2019,A MODEL OF A SUGAR CANE MILL AS MANUFACTURED BY MESSERS. ROBEY&CO,"THIS DESIGN IS BASED ON DRAWINGS PUBLISHED ON THE ""MODELENGINEERINGWEBSITE"" WEBSITE.",https://www.modelesavapeur.com/telechargemennts/laminoir-canne-sucre-zip.zip,,9,"Has a sugar cane crusher, juce tank and pump, and regulator handle",,,"Oil cups, Oil points",280.0,533.0,280.5,Valve gear,Horizontal,1,No,25,32,,,,,,,,,,,,,
09C-40-00,,Oct 2019,"1 CYLINDER VERTICAL STEAM ENGINE CALLED ""LITTLE KATHYx2""","THIS DESIGN IS BASED ON DRAWINGS WHICH WERE GIVEN TO ME. THE ORIGINAL DESIGN WAS BY H.J. COVENTRY M.E., BALTIMORE, MD. AND THE CAD DRAWINGS WERE BY EDWARD G. WARREN. DATE UNKNOWN. MY DESIGN IS 2X LARGER THAN THEN THE ORIGINAL",https://www.modelesavapeur.com/telechargemennts/little-kathy-x-2.pdf,,3,,,,Oil points,280.0,160.0,131.0,Valve gear,Vertical,1,No,32,40,,,,,,,,,,,,,
09A-25-00,,Jan 2019,A MODEL OF A MAUDSLAY MARINE TYPE VERTICAL STEAM ENGINE,"THIS DESIGN IS BASED ON DRAWINGS WHICH WERE PUBLISHED ON THE M.E.M. WEBSITE. THIS ENGINE WAS DESIGNED AND BUILT BY Mr. CHUCK FELLOWS, ROUND ROCK TEXAS, USA. THIS ENGINE IS 1.5 TIMES LARGER THAN THE ORIGINAL",https://www.modelesavapeur.com/telechargemennts/maudslay-jdw-24-01-2019.pdf,,4,,,,Oil points,376.0,325.0,111.0,Valve gear,Vertical,1,Yes,22,58,,,,,,,,,,,,,
09A-25-01,,Oct 2019,A MODEL OF A MAUDSLAY TWIN CYLINDER VERTICAL MARINE TYPE STEAM ENGINE,THIS DESIGN IS BASED ON A DRAWING WHICH WAS GIVEN TO ME. THE ORIGINAL DESIGN AND DRAWING IS SHOWN ON SHEET-A,https://www.modelesavapeur.com/telechargemennts/mausdlay-vertical-marine.pdf,,5,,,Govenor,Oil points,250.0,215.0,182.0,Valve gear,Vertical,2,Yes,15,38,,,,,,,,,,,,,
09E-11-01,MONITORX2,Dec 2017,"2 CYLINDER HORIZONTAL STEAM ENGINE OF THE ""MONITOR"" TYPE","THIS STEAM ENGINE WAS ORIGINALLY DESIGNED BY Mr. R MIDDLETON, MUNDELEY, NORFOLK, UK. THIS SET OF DRAWINGS IS A REDRAW OF A SET DRAWINGS DONE IN 2013,WHICH WERE DISTROYED IN 2015. THIS ENGINE IS TWICE THE SIZE OF THE ORIGINAL",https://www.modelesavapeur.com/telechargemennts/monitor-x2.pdf,,4,,"Doesn't list a stroke, and I can't be bothered doing trig",,"Oil cups, Oil points",368.2,760.0,452.0,Valve gear,Horizontal,2,No,68,,,,,,,,,,,,,,
09E-35-00,,Jun 2019,A MODEL OF A 2 CYLINDER SELFCONTAINED PORTABLE STEAM ENGINE WITH REVERSER,"THIS DESIGN IS BASED ON DRAWINGS WHICH I FOUND ON THE INTERNET. THE ORIGINAL DRAWING WERE BY R.A.HILL. THE DRAWINGS WERE FILED FOR PATENT RIGHTS ON THE 3RD OF MARCH 1958. FILE NO:2,951,471. ISSUE DATE 6TH SEPTEMBER 1960",https://www.modelesavapeur.com/telechargemennts/Moteur%201951%20-%20Copie.pdf,,4,,"Doesn't list a stroke, and I don't think the crank drawing is constrained properly",,Oil points,203.0,419.0,154.0,Valve gear,Horizontal,2,Yes,30,,,,,,,,,,,,,,
09C-29-00,COMPOUND,Apr 2018,A MODEL OF A TWIN CYLINDER VERTICAL COMPOUND STEAM ENGINE,"FOUND THE ORIGINAL DRAWINGS ON THE INTERNET. THE TITLE OF THE ORIGINAL DRAWINGS WAS: ""MACHINE A VAPEUR W.WHITE & SONS-VECTIS WORKS-W COWES"". DESIGNER JEAN LE BOT. DATE AUGUST 1970. CONVERTED TO METRIC BY J. GRIMONPON.",https://www.modelesavapeur.com/telechargemennts/moteur-compound-jdw.pdf,,9,"2 drains on each piston. Double expansion, second pisont B=105 S=58. Also has a ""VLAVE CHEST RELIEVE VALVE"" and ""AIR PUMP""",,"Cylinder Drains, Double Expansion","Cylinder oilers, Oil cups, Oil points",457.5,329.4,249.2,Valve gear,Vertical,2,Yes,50,58,,,,,,,,,,,,,
11-01-00,MUNCASTER,Mar 2016,A SIMPLE OSCILLATING STEAM ENGINE BY H.MUNCASTER.,"THE ORIGINAL DRAWINGS WERE PUBLISHED IN THE ""MODEL ENGINEER"" MAGAZINE OF FEBTUARY 1957 UNDER THE HEADING OF ""THE MUNCASTER STEAM-ENGINE MODELS.",https://www.modelesavapeur.com/telechargemennts/muncaster-1.pdf,,2,,,,Oil cups,180.0,120.0,100.0,Oscillating,Vertical,1,Flip inlet,16,36,,,,,,,,,,,,,
11-03-00,MUNCASTER3,Mar 2016,A SIMPLE HORIZONTAL MILL STEAM ENGINE WITH SLIDE VALVE BY H.MUNCASTER.,"THE ORIGINAL DRAWINGS WERE PUBLISHED IN THE ""MODEL ENGINEER"" MAGAZINE OF MARCH 1957 UNDER THE HEADING OF ""THE MUNCASTER STEAM-ENGINE MODELS.",https://www.modelesavapeur.com/telechargemennts/muncaster-3-complet.pdf,,3,,,,Oil points,173.0,386.0,173.0,Valve gear,Horizontal,1,No,30,54,,,,,,,,,,,,,
11-04-01,MUNCASTER4.1,Apr 2017,1 CYL HORIZONTAL MILL STEAM ENGINE WITH BAR CROSSHEAD SLIDES BY H.MUNCASTER.,"THE ORIGINAL DRAWINGS WERE PUBLISHED IN THE ""MODEL ENGINEER"" MAGAZINE OF FEBTUARY 1957 UNDER THE HEADING OF ""THE MUNCASTER STEAM-ENGINE MODELS"".",https://www.modelesavapeur.com/telechargemennts/muncaster-4-complet.pdf,,3,,1st of 3 projects in this pdf,,Oil points,175.0,380.3,145.0,Valve gear,Horizontal,1,No,38,54,,,,,,,,,,,,,
11-04-02,MUNCASTER4.2,Apr 2017,1 CYL HORIZONTAL MILL STEAM ENGINE WITH A SLIPPER CROSSHEAD BY H.MUNCASTER.,"THE ORIGINAL DRAWINGS WERE PUBLISHED IN THE ""MODEL ENGINEER"" MAGAZINE OF FEBTUARY 1957 UNDER THE HEADING OF ""THE MUNCASTER STEAM-ENGINE MODELS"".",https://www.modelesavapeur.com/telechargemennts/muncaster-4-complet.pdf,,3,,2nd of 3 projects in this pdf,,Oil points,127.0,296.5,122.0,Valve gear,Horizontal,1,No,38,44,,,,,,,,,,,,,
11-04-03,MUNCASTER4.3,Jun 2017,1 CYL HORIZONTAL STEAM ENGINE WITH A CROSSHEAD TRUNK GUIDE BY H.MUNCASTER.,"THE ORIGINAL DRAWINGS WERE PUBLISHED IN THE ""MODEL ENGINEER"" MAGAZINE OF FEBTUARY 1957 UNDER THE HEADING OF ""THE MUNCASTER STEAM-ENGINE MODELS"".",https://www.modelesavapeur.com/telechargemennts/muncaster-4-complet.pdf,,3,,3rd of 3 projects in this pdf,,Oil points,152.0,356.0,132.0,Valve gear,Horizontal,1,No,40,54,,,,,,,,,,,,,
11-05-01,MUNCASTER5.1,Jun 2017,"1 CYL VERTICAL STEAM ENGINE ""STEAM HAMMER"" TYPE COLUMNS BY H.MUNCASTER.","THE ORIGINAL DRAWINGS WERE PUBLISHED IN THE ""MODEL ENGINEER"" MAGAZINE OF FEBTUARY 1957 UNDER THE HEADING OF ""THE MUNCASTER STEAM-ENGINE MODELS"".",https://www.modelesavapeur.com/telechargemennts/muncaster-5-complet.pdf,,3,,1st of 2 projects in this pdf,,Oil points,347.1,170.0,143.5,Valve gear,Vertical,1,No,50,50,,,,,,,,,,,,,
11-05-02,MUNCASTER5.2,Jun 2017,1 CYL VERTICAL STEAM ENGINE OF THE SINGLE COLUMN TYPE BY H.MUNCASTER.,"THE ORIGINAL DRAWINGS WERE PUBLISHED IN THE ""MODEL ENGINEER"" MAGAZINE OF FEBTUARY 1957 UNDER THE HEADING OF ""THE MUNCASTER STEAM-ENGINE MODELS"".",https://www.modelesavapeur.com/telechargemennts/muncaster-5-complet.pdf,,4,,2nd of 2 projects in this pdf,Govenor,Oil points,343.5,190.2,166.0,Valve gear,Vertical,1,No,44,50,,,,,,,,,,,,,
11-06-01,MUNCASTER6.1,Jun 2017,2 CYLINDER SIMPLE VERTICAL STEAM ENGINE BY H.MUNCASTER.,"THE ORIGINAL DRAWINGS WERE PUBLISHED IN THE ""MODEL ENGINEER"" MAGAZINE OF FEBTUARY 1957 UNDER THE HEADING OF ""THE MUNCASTER STEAM-ENGINE MODELS"".",https://www.modelesavapeur.com/telechargemennts/muncaster-6-complet.pdf,,4,,1st of 2 projects in this pdf,,Oil points,319.0,264.0,133.0,Valve gear,Vertical,2,No,44,48,,,,,,,,,,,,,
11-06-02,MUNCASTER6.2,Jun 2017,2 CYLINDER VERTICAL COMPOUND STM ENG. WITH SPEED CONTROL BY H.MUNCASTER.,"THE ORIGINAL DRAWINGS WERE PUBLISHED IN THE ""MODEL ENGINEER"" MAGAZINE OF FEBTUARY 1957 UNDER THE HEADING OF ""THE MUNCASTER STEAM-ENGINE MODELS"".",https://www.modelesavapeur.com/telechargemennts/muncaster-6-complet.pdf,,5,,2nd of 2 projects in this pdf,Govenor,Oil points,324.5,245.9,160.0,Valve gear,Vertical,2,No,55,48,,,,,,,,,,,,,
11-07-01,MUNCASTER7.1-,Jul 2017,1 CYLINDER ENTABLATURE STEAM ENGINE WITH SLIDING CROSSHEAD BY H.MUNCASTER.,"THE ORIGINAL DRAWINGS WERE PUBLISHED IN THE ""MODEL ENGINEER"" MAGAZINE OF FEBTUARY 1957 UNDER THE HEADING OF ""THE MUNCASTER STEAM-ENGINE MODELS"".",https://www.modelesavapeur.com/telechargemennts/muncaster-7.pdf,,3,,,,Oil points,380.0,239.0,194.6,Valve gear,Vertical,1,No,47,48,,,,,,,,,,,,,
11-10-01,MUNCASTER10.1,Jul 2017,"1 CYLINDER STEAM ENGINE KNOWN AS A ""GRASSHOPPER"" ENGINE BY H.MUNCASTER.","THE ORIGINAL DRAWINGS WERE PUBLISHED IN THE ""MODEL ENGINEER"" MAGAZINE OF FEBTUARY 1957 UNDER THE HEADING OF ""THE MUNCASTER STEAM-ENGINE MODELS"".",https://www.modelesavapeur.com/telechargemennts/muncaster-10-complet.pdf,,5,,"Doesn't list a stroke, and I can't be bothered doing trig","Beam, Govenor",Oil points,372.1,335.5,130.5,Valve gear,Vertical,1,No,45,,,,,,,,,,,,,,
11-11-00,MUNCASTER11,Mar 2018,"2 CYL HORIZONTAL STEAM ENGINE WITH ""JOY"" VALVE GEAR BY H.MUNCASTER.","THE ORIGINAL DRAWINGS WERE PUBLISHED IN THE ""THE MODEL ENGINEER AND ELECTRICIAN"" MAGAZINE OF MARCH AND APRIL 1905 UNDER THE HEADING ""A MODEL HORIZONTAL ENGINE WITH JOY'S VALVE GEAR"" BY H. MUNCASTER.",https://www.modelesavapeur.com/telechargemennts/muncaster-11-.pdf,,7,,,,"Oil cups, Oil points",230.0,601.0,286.5,Valve gear,Horizontal,2,Yes,54,76,,,,,,,,,,,,,
09C-33-00,,Nov 2018,"A MODEL OF A ""MUSGRAVE"" TYPE STEAM ENGINE","THIS DESIGN IS BASED ON A SINGLE DRAWING WHICH WAS GIVEN TO ME. THE ORIGINAL DRAWING WAS SIGNED AND DATED BY Mr. LOTHAR MATRIAN , DORTMUND, GERMANY.",https://www.modelesavapeur.com/telechargemennts/musgrav-engine.pdf,,4,,"Doesn't list a stroke, and I can't be bothered doing trig",,Oil points,294.0,240.0,169.0,Valve gear,Vertical,2,No,24,,,,,,,,,,,,,,
09A-24-00,,Aug 2018,A SIMPLE 6 CYLINDER OSCILLATING STEAM ENGINE,"THIS DESIGN IS LOOSELY BASED ON A SET OF DRAWINGS WHICH WERE GIVEN TO ME. THE ORIGINAL DRAWINGS AND ARTICLE WERE PUBLISHED IN A UNSPECIFIED MAGAZINE (PAGES 26 TO 41) UNDER THE TITLE ""HULA-HULA ENGINE"" BY PHILIP DUCLOS.",https://www.modelesavapeur.com/telechargemennts/oscillant-6-radial-jdw-15-08-2018.pdf,,2,Switching inlet and outlet would take a lot of pipe work,,,Oil points,298.7,278.0,250.0,Oscillating,Radial,6,No,25,38,,,,,,,,,,,,,
09A-23-00,,May 2018,1 CYLINDER OSCILLATING DOUBLE ACTING STEAM ENGINE WITH SLIDE VALVE,"THIS ENGINE WAS DESINGED BY P.ZAAL, ORIGINAL DRAWINGS WERE DATED 30-01-1944 AND PUBLISHED IN THE ""MODELBOUWER"" OF APRIL 1946 PAGES 37, 38 AND 39.",https://www.modelesavapeur.com/telechargemennts/oscillation-with-piston-jdw.pdf,,3,,,,Oil points,140.0,248.0,189.0,Oscillating,Horizontal,1,Flip inlet,30,46,,,,,,,,,,,,,
09E-25-00,,Jul 2018,A 2x1 CYLINDER STEAM ENGINE WITH REVERSER FOR A PADDLE STEAMER,"THE ORIGINAL DRAWINGS AND ARTICLE WERE GIVEN TO ME. THE ORIGINAL ARTICLE AND DRAWINGS WERE FIRST PUBLISHED IN THE ""MODEL ENGINEER"" MAGAZINE OF NOVEMBER 1955 UNDER THE TITLE ""POWER BY PADDLES"" BY E.T.WESTBURY",https://www.modelesavapeur.com/telechargemennts/paddle-engine-westbury.pdf,,6,,I think 2-07 is the reverser but it doesn't have a handle,Paddle Steamer,Oil cups,258.0,520.0,394.0,Valve gear,Horizontal,2,Yes,30,58,,,,,,,,,,,,,
09C-27-00,RAWVSE,Nov 2017,"RICHES & WATTS ""A""-FRAME VERTICAL STEAM ENGINE 2N.H.P. CIRCA 1870-1875",THIS STEAM ENGINE IS BASED ON DRAWINGS GIVEN TO ME. AUTHOR AND DATE OF THE ORIGINAL DESIGN/DRAWINGS IS UNKOWN. ORIGINAL DRAWINGS DID NOT HAVE ANY DIMESIONS ATTACHED TO IT.,https://www.modelesavapeur.com/telechargemennts/rawvse-complet.pdf,,5,,,Govenor,"Oil cups, Cylinder oiler",373.3,205.0,184.0,Valve gear,Vertical,1,No,26,42,,,,,,,,,,,,,
09E-33-00,,May 2019,A MODEL OF A REVOLVING CYLINDER STEAM ENGINE,THIS DESIGN IS BASED ON DRAWINGS WHICH WERE GIVEN TO ME. THIS TYPE OF DESIGN WAS FIRST PATENTED BY T.ROGERS ON 23 MARCH 1858,https://www.modelesavapeur.com/telechargemennts/revolving-steam-engine.pdf,,2,,Cant work out stroke,,None,165.0,160.0,110.0,Oscillating,Revolving,1,Flip inlet,13,,,,,,,,,,,,,,
09B-18-00,SCRAPBOX,Dec 2017,1 CYLINDER HORIZONTAL MILL STEAM ENGINE WITH CYLINDER CENTER EXHAUST,THIS STEAM ENGINE IS BASED ON DRAWINGS GIVEN TO ME. THE AUTHOR OF THE ORIGINAL DESIGN/DRAWINGS IS PAUL JACOBS. DATE UNKOWN. UNKNOWN MAGAZINE PAGES MARKED 66 TO 79,https://www.modelesavapeur.com/telechargemennts/scrapbox-jdw-19-12-2017.pdf,,4,,,,"Oil cups, Oil points",146.0,324.0,194.0,Valve gear,Horizontal,1,No,32,38,,,,,,,,,,,,,
09C-31-00,,Jun 2018,A SIMPLE SINGLE VERTICAL SLIDE VALVE STEAM ENGINE,"THE ORIGINAL DRAWINGS AND THE ORIGINAL DESIGN WAS BY C.W.WOODSON. THE ACCOMPANIED ARTICLE AND THE DRAWINGS WERE PUBLISHED IN THE ""POPULAR SCIENCE"" MAGAZINE OF MARCH 1946. THE DRAWN ENGINE IS 1.5 THE SIZE THAN THE ORIGINAL.",https://www.modelesavapeur.com/telechargemennts/simple-vertical-cylinder-jdw.pdf,,3,,,,"Oil cups, Oil points",177.5,109.5,96.0,Valve gear,Vertical,1,No,24,24,,,,,,,,,,,,,
09C-37-00,,May 2019,A MODEL OF A SIMPLE VERTICAL HEAVY DUTY STEAM ENGINE WITH REVERSER,"THIS DESIGN IS BASED ON DRAWINGS WHICH WERE GIVEN TO ME. THE ORIGINAL ENGINE DESIGN WAS CREATED BY Mr. KELLY KUBISCHTA, FOR NON-PROFFITPUBLICATION 2010. THE ENGINE PLANS ARE 1.5 TIMES LARGER THAN THE ORIGINAL. Note from author for ""Kelly's #1"" Vertical Stephenson Link Steam Engine. This Is a pretty hefty little engine. It will run on as little as 1psi and up to 120psi. Depending on how well its made.",https://www.modelesavapeur.com/telechargemennts/simple-with-reverser.pdf,,3,Uses ball bearings for the shaft,,,None,380.5,205.0,151.6,Valve gear,Vertical,1,Yes,38,56,,,,,,,,,,,,,
09E-31-00,,Apr 2019,A MODEL OF A SIMPLE VERTICAL STEAM ENGINE WITH A ROTARY VALVE,"THIS DESIGN IS BASED ON DRAWINGS WHICH WERE GIVEN TO ME. THE ORIGINAL ENGINE WAS DESIGNED AND BUILT BY Mr. DAVID CROFT, THE DRAWINGS AND ARTICLE WERE PUBLISHED IN AN UNSPECIFIED MAGAZINE UNDER THE TITLE ""A STEAM ENGINE FOR THE NOVICE""",https://www.modelesavapeur.com/telechargemennts/simple-with-rotary-valve.pdf,,2,,,,Displacement lubricator,151.4,133.5,96.0,Rotary valve,Vertical,1,No,28,41,,,,,,,,,,,,,
09C-30-00,,May 2018,A SIMPLE 1 CYLINDER VERTICAL STEAM ENGINE WITH SPOOL VALVE & REVERSER,THE ORIGINAL DRAWINGS WERE GIVEN TO ME. THE ORIGINAL DRAWINGS HAD IMPERIAL DIMENSIONING AND DO NOT SHOW THE NAME OF THE DESINGER AND/OR DRAFTER OR ANY DATE. (A SIMPLE MACHINE FOR A YOUNG BEGINNER ENGINEER),https://www.modelesavapeur.com/telechargemennts/single-cylinder-with-spool-and-reverse-jdw.pdf,,3,,,,Oil points,207.3,150.0,88.0,Spool Valve,Vertical,1,Yes,26,44,,,,,,,,,,,,,
